IEA fossil fuel subsidies database;;;;;;;;;;;;;;;;
© 2025 IEA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Unit: Real 2024 million USD;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Qatar;Electricity;2 123,3;1 966,6;1 999,9;1 850,6;2 335,5;1 894,7;760,5;866,9;1 246,8;252,8;509,2;3 866,8;4 561,9;2 354,5;2 263,9
Qatar;Gas;1 544,0;1 053,8;1 597,3;1 570,5;1 878,1;1 501,5;488,4;776,0;1 097,0;3,3;-;3 375,0;3 390,4;1 974,5;1 770,9
Qatar;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Qatar;Total;5 492,5;5 459,7;5 721,2;5 840,4;6 271,7;4 133,0;1 596,4;2 147,2;2 759,0;606,1;720,7;7 794,6;9 395,8;5 243,2;4 671,0
Russia;Oil;-;-;-;-;-;6 833,4;4 858,0;6 001,8;8 842,5;6 693,3;6 441,9;8 335,6;20 487,1;24 033,6;21 412,3
Russia;Electricity;20 238,9;18 376,0;19 836,9;19 560,0;20 107,9;23 178,5;29 553,6;12 859,3;19 403,1;12 798,6;11 129,1;48 400,4;90 055,7;49 381,8;24 484,3
Russia;Gas;17 228,5;19 535,9;18 770,6;18 545,0;19 331,3;28 419,9;18 059,6;19 658,5;41 217,3;17 616,9;9 838,6;55 297,5;122 571,7;69 253,8;67 694,7
Russia;Coal;-;-;-;-;-;195,2;294,4;367,2;413,9;266,2;235,5;482,2;470,0;170,3;162,1
Russia;Total;37 467,4;37 911,9;38 607,5;38 105,0;39 439,2;58 627,0;52 765,6;38 886,9;69 876,8;37 374,9;27 645,0;112 515,7;233 584,5;142 839,5;113 753,3
SaudiArabia;Oil;38 310,1;54 264,6;57 650,0;57 816,7;57 081,7;43 666,0;27 818,5;33 726,5;27 736,2;24 476,8;13 269,6;18 817,0;31 742,5;29 049,3;21 267,4
SaudiArabia;Electricity;18 283,4;17 281,6;17 850,2;16 969,8;16 293,8;16 659,9;13 326,0;13 939,5;9 987,2;6 756,0;6 147,8;15 946,2;24 560,7;17 632,9;16 867,2
SaudiArabia;Gas;14 099,5;10 688,1;13 454,2;11 515,9;11 616,5;10 814,7;6 712,9;5 913,1;7 635,9;5 643,9;4 427,9;11 601,5;15 954,2;9 717,9;9 307,5
SaudiArabia;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SaudiArabia;Total;70 692,9;82 234,3;88 954,3;86 302,4;84 991,9;71 140,6;47 857,4;53 579,1;45 359,3;36 876,8;23 845,2;46 364,7;72 257,5;56 400,1;47 442,2
SouthAfrica;Oil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SouthAfrica;Electricity;-;-;-;-;-;2 457,3;5 819,9;5 530,7;4 890,7;-;-;232,2;6 203,4;-;-
SouthAfrica;Gas;-;7,1;-;-;-;-;-;-;-;-;-;-;-;367,0;-
SouthAfrica;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SouthAfrica;Total;-;7,1;-;-;-;2 457,3;5 819,9;5 530,7;4 890,7;-;-;232,2;6 203,4;367,0;-
SriLanka;Oil;304,0;709,4;300,0;206,0;192,0;66,0;86,2;210,4;235,7;388,3;147,6;620,1;1 344,3;571,0;846,0
SriLanka;Electricity;239,6;206,3;352,8;84,1;161,9;93,0;-;5,8;186,6;98,8;154,3;622,4;1 970,4;620,4;591,7
SriLanka;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SriLanka;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SriLanka;Total;543,5;915,7;652,8;290,1;353,9;159,0;86,2;216,2;422,4;487,1;301,9;1 242,5;3 314,7;1 191,3;1 437,7
Taipei;Oil;216,9;941,4;587,6;385,0;195,8;3,0;48,3;13,1;10,8;2,7;65,3;223,7;614,3;497,8;522,4
Taipei;Electricity;388,7;1 172,8;667,4;150,5;-;-;-;-;338,2;-;-;1 682,4;8 047,1;887,7;393,2
Taipei;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2 221,2
Taipei;Coal;149,4;258,0;189,3;37,8;-;-;-;188,9;22,9;-;-;182,6;983,3;180,5;203,5
Taipei;Total;755,0;2 372,2;1 444,4;573,3;195,8;3,0;48,3;202,0;371,9;2,7;65,3;2 088,8;9 644,7;1 566,0;3 340,3
Thailand;Oil;2 031,0;2 492,0;2 932,7;2 210,5;1 678,8;873,2;646,8;967,8;955,3;512,9;522,0;1 073,4;1 400,1;56,3;73,9
Thailand;Electricity;1 478,8;2 417,5;2 901,5;-;-;-;-;-;-;-;-;-;7 585,9;-;-
Thailand;Gas;906,3;1 011,4;1 403,7;708,0;408,0;-;-;-;-;-;-;-;1 977,9;1 059,7;1 282,1
Thailand;Coal;1 202,5;870,0;849,0;217,1;87,4;-;-;-;-;-;17,8;607,5;617,5;329,8;425,9
Thailand;Total;5 618,6;6 791,0;8 086,8;3 135,6;2 174,2;873,2;646,8;967,8;955,3;512,9;539,8;1 681,0;11 581,3;1 445,8;1 781,9
TrinidadandTobago;Oil;-;-;270,0;602,4;578,8;589,7;468,8;512,5;495,5;538,4;334,4;433,4;697,9;344,2;411,4
TrinidadandTobago;Electricity;-;-;353,6;539,0;469,6;356,0;207,2;199,4;303,3;97,2;35,1;469,2;448,4;448,2;250,2
TrinidadandTobago;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
TrinidadandTobago;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
TrinidadandTobago;Total;-;-;623,6;1 141,4;1 048,4;945,7;676,1;711,9;798,8;635,7;369,5;902,6;1 146,2;792,4;661,6
Turkmenistan;Oil;4 008,6;5 060,3;5 415,1;5 306,6;5 044,9;2 221,6;1 495,2;2 172,1;1 752,6;1 247,7;121,0;1 149,4;2 221,3;1 823,7;1 621,5
Turkmenistan;Electricity;1 785,4;1 758,6;1 552,4;1 767,8;1 554,7;1 747,7;1 572,5;508,3;615,1;384,4;390,7;1 200,3;3 611,6;1 022,1;789,8
