"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SUB_TYPE","FFS","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"IMF.STA:FFS(1.0.2)","LAO.IM.COA.USQ2021.A","OBS_VALUE","Lao People's Democratic Republic","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.374635598","0.861925791","1.109270836","1.173441364","1.23768448","1.235392207","1.355444897","1.405635758","1.153557474","1.554177936","1.5537095","1.892275483","2.251536272","2.573483942","2.774394683","2.971607441","3.152815847","3.330767079","3.509054573","3.689866733","3.875150004"
"IMF.STA:FFS(1.0.2)","TTO.IM.COA.USQ2021.A","OBS_VALUE","Trinidad and Tobago","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","CMR.IM.COA.USQ2021.A","OBS_VALUE","Cameroon","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","BDI.IM.COA.USQ2021.A","OBS_VALUE","Burundi","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.000295971","0.002630515","0.001360397","0.000985775","0.003267751","0.001715974","0.003391481","0.003584563","0.003572933","0.003916751","0.004292447","0.004431048","0.004562563","0.004718999","0.004874062","0.005014893","0.005151835","0.005283993","0.005410489","0.005538146","0.005667178"
"IMF.STA:FFS(1.0.2)","IRL.IM.COA.USQ2021.A","OBS_VALUE","Ireland","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","1.331240813","1.242829204","1.107748906","1.030049505","0.803422978","0.789148497","0.782460568","0.847061227","0.840218488","0.936706807","0.994478708","1.011874482","1.027419762","1.046703443","1.066405998","1.090876945","1.115324164","1.139890014","1.164440875","1.188943711","1.213403129"
"IMF.STA:FFS(1.0.2)","NIC.IM.COA.USQ2021.A","OBS_VALUE","Nicaragua","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","RUS.IM.COA.USQ2021.A","OBS_VALUE","Russian Federation","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","114.356979","103.3673153","88.62689584","97.69125622","96.67101095","100.6097018","109.1326238","117.6935944","128.0887865","160.4960154","168.9690428","181.4223879","200.4807645","213.682849","223.0097642","231.2737134","235.0289379","239.0255457","243.0625114","247.3860184","251.7438879"
"IMF.STA:FFS(1.0.2)","CIV.IM.COA.USQ2021.A","OBS_VALUE","Côte d'Ivoire","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","URY.IM.COA.USQ2021.A","OBS_VALUE","Uruguay","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0.0000341","0.0000348","0.0000356","0.0000365","0.0000374","0.0000373","0.0000408","0.0000439","0.000045","0.000046","0.0000472","0.0000484","0.0000494","0.0000505","0.0000515","0.0000526","0.0000536","0.0000546"
"IMF.STA:FFS(1.0.2)","VNM.IM.COA.USQ2021.A","OBS_VALUE","Vietnam","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","7.936607761","9.27501256","9.822581189","14.30891603","19.38068633","22.36666749","22.29803409","19.30973004","16.06434253","15.68411099","16.08196874","16.08173727","15.8417798","16.02852649","16.22428998","16.47870167","16.95258143","18.09168055","19.29732482","20.57310561","21.92255699"
"IMF.STA:FFS(1.0.2)","LVA.IM.COA.USQ2021.A","OBS_VALUE","Latvia, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.099896631","0.090397531","0.069073303","0.065678611","0.046633431","0.022076533","0.023465019","0.018918395","0.019316205","0.024170805","0.026214583","0.026777202","0.027331086","0.028048928","0.02877986","0.029404551","0.030040069","0.030689169","0.031349803","0.032027985","0.032723193"
"IMF.STA:FFS(1.0.2)","KGZ.IM.COA.USQ2021.A","OBS_VALUE","Kyrgyz Republic","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.556209903","0.62913201","0.633185136","0.762198696","0.725724906","0.581426061","0.586893346","0.702112609","0.794050493","0.715474823","0.743682838","0.707799798","0.692921796","0.693480138","0.770842435","0.871789399","0.96249015","1.060509707","1.158427682","1.255745682","1.361601316"
"IMF.STA:FFS(1.0.2)","ISL.IM.COA.USQ2021.A","OBS_VALUE","Iceland","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.029662236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","UZB.IM.COA.USQ2021.A","OBS_VALUE","Uzbekistan, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","3.394168953","4.423796109","4.080243804","5.771149375","4.495127597","5.98499123","4.944483531","7.575037737","8.24114581","9.64004951","10.10023301","10.84119582","11.50109459","12.19953635","13.07401539","14.13091905","15.32657111","16.61691246","18.00713408","19.50278033","21.10871625"
"IMF.STA:FFS(1.0.2)","DEU.IM.COA.USQ2021.A","OBS_VALUE","Germany","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","31.35092222","29.06792496","27.40928805","24.42049616","17.05074703","13.40110778","15.91231601","3.827239511","3.055626398","6.018686179","6.461544587","6.185184424","5.671142625","5.424933984","5.188573413","4.980460879","4.804503984","4.698717204","4.737035191","4.774586721","4.811319305"
